data,ticker,fechamento,quantidade,volume
2024-01-04,RECV3,20.69,5578000,115753526.0
2024-01-04,RENT3,59.63,7653400,456667487.0
2024-01-04,RRRP3,25.82,4438800,115068860.0
2024-01-04,SANB11,31.71,1391800,44263144.0
2024-01-04,SBSP3,72.61,1397400,101478411.0
2024-01-04,SLCE3,18.25,1699500,31001170.0
2024-01-04,SMFT3,24.58,2643400,65307790.0
2024-01-04,SMTO3,28.13,1462500,41599056.0
2024-01-04,SOMA3,7.3,11150100,81667532.0
2024-01-04,STBP3,9.19,2786200,25438097.0
2024-01-04,SUZB3,54.61,1914500,105004105.0
2024-01-04,TAEE11,37.4,1464900,54655827.0
2024-01-04,TEND3,11.67,8138500,97834480.0
2024-01-04,TIMS3,17.45,4718600,82307423.0
2024-01-04,TOTS3,32.1,3736300,120330108.0
2024-01-04,TRPL4,26.15,1939900,50560053.0
2024-01-04,UGPA3,26.49,4688900,123427602.0
2024-01-04,USIM5,8.94,10181100,90630551.0
2024-01-04,VALE3,75.62,18707000,1419514324.0
2024-01-04,VAMO3,9.6,4140400,39597913.0
2024-01-04,VBBR3,22.42,9690800,220385348.0
2024-01-04,VIVA3,33.62,4087100,139475008.0
2024-01-04,VIVT3,51.41,1533700,78872882.0
2024-01-04,WEGE3,36.36,5461100,199564075.0
2024-01-04,YDUQ3,20.5,3491200,71760172.0
2024-01-05,ABEV3,13.6,18293900,248997566.0
2024-01-05,ALOS3,25.23,4745600,120060470.0
2024-01-05,ALPA4,9.38,5414300,50463808.0
2024-01-05,AMER3,0.87,24611600,21760252.0
2024-01-05,ARZZ3,60.68,1506100,90892507.0
2024-01-05,ASAI3,13.58,12696400,174179708.0
2024-01-05,AURE3,13.5,4673500,62916542.0
2024-01-05,AZUL4,13.83,11849000,164448307.0
2024-01-05,B3SA3,13.97,39270000,544825266.0
2024-01-05,BBAS3,54.88,8227900,449132152.0
2024-01-05,BBDC3,15.15,3674400,55386667.0
2024-01-05,BBDC4,16.88,30772400,518171159.0
2024-01-05,BBSE3,33.68,6319900,214236057.0
2024-01-05,BEEF3,7.1,7790500,55756975.0
2024-01-05,BHIA3,10.4,2888800,30302553.0
2024-01-05,BPAC11,36.73,8636100,313983824.0
2024-01-05,BPAN4,8.3,1926500,15758044.0
2024-01-05,BRAP4,24.88,2183700,54306418.0
2024-01-05,BRFS3,12.76,6854400,87596907.0
2024-01-05,BRKM5,20.11,3577100,72711168.0
2024-01-05,CASH3,7.67,1681800,13116596.0
2024-01-05,CCRO3,13.83,3572500,49298552.0
2024-01-05,CEAB3,7.24,2529300,18483269.0
2024-01-05,CIEL3,4.88,42870400,207944976.0
2024-01-05,CMIG4,11.54,12277900,141165900.0
2024-01-05,CMIN3,7.86,5359000,41912444.0
2024-01-05,COGN3,3.34,24209100,80445759.0
2024-01-05,CPFE3,38.26,725000,27660567.0
2024-01-05,CPLE3,9.14,9003500,82168351.0
2024-01-05,CPLE6,10.08,18527600,186458387.0
2024-01-05,CRFB3,11.66,5116600,60662537.0
2024-01-05,CSAN3,19.19,5653300,108337988.0
2024-01-05,CSMG3,20.61,747900,15414689.0
2024-01-05,CSNA3,19.24,5558900,106473787.0
2024-01-05,CURY3,17.03,3035500,52041901.0
2024-01-05,CVCB3,3.18,22545000,72734903.0
2024-01-05,CXSE3,13.0,1616200,20926077.0
2024-01-05,CYRE3,22.16,6993000,155235952.0
2024-01-05,DIRR3,21.31,1186700,25354386.0
2024-01-05,DXCO3,7.64,4583300,34901360.0
2024-01-05,ECOR3,9.25,2033300,18749253.0
2024-01-05,EGIE3,44.3,958600,42431818.0
2024-01-05,ELET3,41.26,3080800,127263537.0
2024-01-05,ELET6,45.84,453900,20799559.0
2024-01-05,EMBR3,21.37,4358900,92755881.0
2024-01-05,ENEV3,13.51,8208100,110448406.0
2024-01-05,ENGI11,52.4,1768400,92050036.0
2024-01-05,EQTL3,34.78,6881400,238478864.0
2024-01-05,EZTC3,16.55,1608400,26807887.0
2024-01-05,FLRY3,17.54,1709700,29944956.0
2024-01-05,GGBR4,23.16,7156300,164983515.0
2024-01-05,GOAU4,10.65,6934700,73393445.0
2024-01-05,GOLL4,8.01,6055100,48328921.0
