data,ticker,fechamento
2019-01-09,CSNA3,9.88
2019-01-09,CVCB3,59.07
2019-01-09,CYRE3,15.85
2019-01-09,DIRR3,8.22
2019-01-09,ECOR3,10.01
2019-01-09,EGIE3,36.65
2019-01-09,ELET3,30.6
2019-01-09,ELET6,33.93
2019-01-09,EMBR3,21.28
2019-01-09,ENBR3,14.59
2019-01-09,ENEV3,17.08
2019-01-09,ENGI11,37.95
2019-01-09,EQTL3,79.95
2019-01-09,ESTC3,26.71
2019-01-09,EZTC3,24.9
2019-01-09,FLRY3,21.08
2019-01-09,GGBR4,16.0
2019-01-09,GNDI3,30.93
2019-01-09,GOAU4,7.55
2019-01-09,GOLL4,23.48
2019-01-09,HAPV3,31.0
2019-01-09,HGTX3,29.4
2019-01-09,HYPE3,30.6
2019-01-09,IGTA3,41.12
2019-01-09,IRBR3,82.78
2019-01-09,ITSA4,13.05
2019-01-09,ITUB4,38.09
2019-01-09,JBSS3,12.2
2019-01-09,JHSF3,1.91
2019-01-09,KLBN11,17.41
2019-01-09,KROT3,9.58
2019-01-09,LAME4,20.8
2019-01-09,LCAM3,36.0
2019-01-09,LOGG3,16.24
2019-01-09,LREN3,42.6
2019-01-09,MGLU3,179.11
2019-01-09,MRFG3,5.59
2019-01-09,MRVE3,13.59
2019-01-09,MULT3,24.37
2019-01-09,NATU3,45.27
2019-01-09,PCAR4,85.11
2019-01-09,PETR3,28.82
2019-01-09,PETR4,25.48
2019-01-09,POMO4,4.23
2019-01-09,PRIO3,108.35
2019-01-09,PSSA3,50.2
2019-01-09,QUAL3,13.64
2019-01-09,RADL3,61.11
2019-01-09,RAIL3,17.2
2019-01-09,RENT3,30.2
2019-01-09,SANB11,47.0
2019-01-09,SBSP3,37.6
2019-01-09,SLCE3,40.54
2019-01-09,SMLS3,41.6
2019-01-09,SMTO3,18.23
2019-01-09,STBP3,4.23
2019-01-09,SULA11,27.41
2019-01-09,SUZB3,38.37
2019-01-09,TAEE11,24.8
2019-01-09,TEND3,34.45
2019-01-09,TIMP3,12.99
2019-01-09,TOTS3,29.36
2019-01-09,TRPL4,73.07
2019-01-09,UGPA3,52.12
2019-01-09,USIM5,10.09
2019-01-09,VALE3,53.69
2019-01-09,VIVT3,40.72
2019-01-09,VIVT4,48.74
2019-01-09,VVAR3,4.01
2019-01-09,WEGE3,18.36
2019-01-10,ABEV3,16.85
2019-01-10,ALPA4,19.0
2019-01-10,ARZZ3,55.1
2019-01-10,AZUL4,35.91
2019-01-10,B3SA3,28.27
2019-01-10,BBAS3,48.5
2019-01-10,BBDC3,37.27
2019-01-10,BBDC4,41.77
2019-01-10,BBSE3,27.4
2019-01-10,BEEF3,5.44
2019-01-10,BIDI4,39.3
2019-01-10,BPAC11,25.93
2019-01-10,BPAN4,2.04
2019-01-10,BRAP4,32.7
2019-01-10,BRDT3,25.75
2019-01-10,BRFS3,23.45
2019-01-10,BRKM5,47.51
2019-01-10,BRML3,13.34
2019-01-10,BTOW3,46.5
2019-01-10,CCRO3,12.91
2019-01-10,CIEL3,11.09
2019-01-10,CMIG4,13.83
2019-01-10,CPFE3,28.5
2019-01-10,CPLE3,30.11
2019-01-10,CPLE6,31.36
2019-01-10,CRFB3,19.28
2019-01-10,CSAN3,39.74
2019-01-10,CSMG3,63.4
2019-01-10,CSNA3,9.98
2019-01-10,CVCB3,60.0
2019-01-10,CYRE3,16.1
2019-01-10,DIRR3,8.3
2019-01-10,ECOR3,10.2
2019-01-10,EGIE3,36.22
2019-01-10,ELET3,31.0
2019-01-10,ELET6,34.37
2019-01-10,EMBR3,20.99
2019-01-10,ENBR3,14.73
2019-01-10,ENEV3,17.29
2019-01-10,ENGI11,38.77
2019-01-10,EQTL3,80.99
2019-01-10,ESTC3,27.1
2019-01-10,EZTC3,25.51
2019-01-10,FLRY3,21.48
2019-01-10,GGBR4,15.59
2019-01-10,GNDI3,31.8
2019-01-10,GOAU4,7.52
2019-01-10,GOLL4,23.25
2019-01-10,HAPV3,31.69
2019-01-10,HGTX3,29.15
2019-01-10,HYPE3,30.9
2019-01-10,IGTA3,40.76
2019-01-10,IRBR3,81.08
2019-01-10,ITSA4,12.96
2019-01-10,ITUB4,37.83
2019-01-10,JBSS3,12.16
2019-01-10,JHSF3,1.93
2019-01-10,KLBN11,17.39
2019-01-10,KROT3,9.66
2019-01-10,LAME4,20.78
2019-01-10,LCAM3,36.0
2019-01-10,LOGG3,17.49
2019-01-10,LREN3,42.66
2019-01-10,MGLU3,180.85
2019-01-10,MRFG3,5.51
2019-01-10,MRVE3,13.46
2019-01-10,MULT3,24.17
2019-01-10,NATU3,45.54
2019-01-10,PCAR4,85.76
2019-01-10,PETR3,28.68
2019-01-10,PETR4,25.26
2019-01-10,POMO4,4.2
2019-01-10,PRIO3,108.96
2019-01-10,PSSA3,51.05
2019-01-10,QUAL3,13.68
2019-01-10,RADL3,63.52
2019-01-10,RAIL3,17.47
2019-01-10,RENT3,30.05
2019-01-10,SANB11,47.49
2019-01-10,SBSP3,37.83
2019-01-10,SLCE3,40.88
2019-01-10,SMLS3,42.9
2019-01-10,SMTO3,18.21
2019-01-10,STBP3,4.33
2019-01-10,SULA11,27.9
2019-01-10,SUZB3,38.86
2019-01-10,TAEE11,25.0
2019-01-10,TEND3,33.75
2019-01-10,TIMP3,12.5
2019-01-10,TOTS3,29.9
2019-01-10,TRPL4,73.95
2019-01-10,UGPA3,53.47
2019-01-10,USIM5,10.33
2019-01-10,VALE3,53.1
2019-01-10,VIVT3,40.0
2019-01-10,VIVT4,48.45
2019-01-10,VVAR3,4.42
2019-01-10,WEGE3,18.5
2019-01-11,ABEV3,17.29
2019-01-11,ALPA4,18.99
2019-01-11,ARZZ3,53.21
2019-01-11,AZUL4,37.2
2019-01-11,B3SA3,28.87
2019-01-11,BBAS3,48.7
2019-01-11,BBDC3,37.12
2019-01-11,BBDC4,41.5
2019-01-11,BBSE3,27.75
2019-01-11,BEEF3,5.4
2019-01-11,BIDI4,39.0
2019-01-11,BPAC11,25.9
2019-01-11,BPAN4,2.05
2019-01-11,BRAP4,32.59
2019-01-11,BRDT3,25.8
2019-01-11,BRFS3,22.95
2019-01-11,BRKM5,48.18
2019-01-11,BRML3,13.23
2019-01-11,BTOW3,45.08
2019-01-11,CCRO3,13.4
2019-01-11,CIEL3,10.71
2019-01-11,CMIG4,13.86
2019-01-11,CPFE3,28.3
2019-01-11,CPLE3,30.76
2019-01-11,CPLE6,33.01
2019-01-11,CRFB3,19.3
2019-01-11,CSAN3,38.95
2019-01-11,CSMG3,63.03
2019-01-11,CSNA3,9.86
2019-01-11,CVCB3,59.0
2019-01-11,CYRE3,16.55
2019-01-11,DIRR3,8.44
2019-01-11,ECOR3,10.45
2019-01-11,EGIE3,36.82
2019-01-11,ELET3,30.96
2019-01-11,ELET6,34.3
2019-01-11,EMBR3,21.53
2019-01-11,ENBR3,14.79
2019-01-11,ENEV3,17.37
2019-01-11,ENGI11,38.5
2019-01-11,EQTL3,81.33
2019-01-11,ESTC3,27.37
2019-01-11,EZTC3,25.62
2019-01-11,FLRY3,21.35
2019-01-11,GGBR4,15.22
2019-01-11,GNDI3,31.85
2019-01-11,GOAU4,7.34
2019-01-11,GOLL4,24.96
2019-01-11,HAPV3,31.34
2019-01-11,HGTX3,28.91
2019-01-11,HYPE3,32.98
2019-01-11,IGTA3,40.08
2019-01-11,IRBR3,79.45
2019-01-11,ITSA4,12.8
2019-01-11,ITUB4,37.6
2019-01-11,JBSS3,12.48
2019-01-11,JHSF3,1.95
2019-01-11,KLBN11,17.16
2019-01-11,KROT3,9.85
2019-01-11,LAME4,20.5
2019-01-11,LCAM3,36.18
2019-01-11,LOGG3,19.6
2019-01-11,LREN3,41.71
2019-01-11,MGLU3,177.6
2019-01-11,MRFG3,5.55
2019-01-11,MRVE3,13.34
2019-01-11,MULT3,23.69
2019-01-11,NATU3,44.71
2019-01-11,PCAR4,88.87
2019-01-11,PETR3,28.5
2019-01-11,PETR4,24.99
2019-01-11,POMO4,4.09
2019-01-11,PRIO3,110.29
2019-01-11,PSSA3,53.81
2019-01-11,QUAL3,14.2
2019-01-11,RADL3,64.0
2019-01-11,RAIL3,17.42
2019-01-11,RENT3,29.48
2019-01-11,SANB11,47.39
2019-01-11,SBSP3,39.49
2019-01-11,SLCE3,42.28
2019-01-11,SMLS3,43.0
2019-01-11,SMTO3,18.28
2019-01-11,STBP3,4.33
2019-01-11,SULA11,28.92
2019-01-11,SUZB3,38.86
2019-01-11,TAEE11,25.49
